epoch,train/box_loss,val/box_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
1,1.3522,1.5638,0.4996,0.4432,0.5133,0.2967
2,1.275,1.4723,0.5021,0.4506,0.5251,0.3097
3,1.1903,1.3532,0.5167,0.4691,0.5285,0.327
4,1.1129,1.2757,0.5222,0.477,0.5437,0.3356
5,1.0125,1.2191,0.5327,0.4833,0.5479,0.3496
6,0.942,1.1406,0.5454,0.4963,0.5554,0.359
7,0.8971,1.0895,0.561,0.5032,0.5705,0.3788
8,0.8107,1.0174,0.5724,0.5196,0.5788,0.3884
9,0.7785,0.9742,0.5778,0.5283,0.5871,0.405
10,0.7141,0.9156,0.5851,0.5342,0.5952,0.4146
11,0.6533,0.862,0.6036,0.5496,0.6002,0.428
12,0.6192,0.8236,0.6119,0.5563,0.61,0.4378
13,0.5604,0.7743,0.6279,0.5689,0.6179,0.4521
14,0.537,0.7436,0.6358,0.5783,0.6309,0.4657
15,0.5006,0.7015,0.6439,0.5875,0.6344,0.4814
16,0.482,0.6205,0.6569,0.602,0.6488,0.4961
17,0.4451,0.6075,0.6647,0.6074,0.6501,0.5102
18,0.4073,0.5591,0.6745,0.6182,0.6616,0.5192
19,0.3788,0.5462,0.6862,0.628,0.6675,0.5314
20,0.3407,0.5142,0.6997,0.6422,0.6832,0.5492
21,0.3198,0.4974,0.7079,0.6438,0.685,0.5559
22,0.3153,0.444,0.7116,0.6604,0.6967,0.5695
23,0.274,0.4313,0.7228,0.6663,0.7088,0.5857
24,0.2607,0.4051,0.7315,0.6778,0.715,0.5967
25,0.2356,0.402,0.7478,0.6858,0.7255,0.6149
26,0.2162,0.3412,0.7539,0.7021,0.7302,0.6271
27,0.2239,0.3451,0.7652,0.7153,0.7448,0.6387
28,0.1939,0.3311,0.7778,0.7206,0.7493,0.6528
29,0.1749,0.2978,0.7951,0.7344,0.758,0.6677
30,0.1715,0.3101,0.8029,0.739,0.7663,0.6741
